analysis_scope,segment_type,segment_value,transactions,transaction_share,fraud_transactions,fraud_rate,fraud_lift,fraud_capture_share,total_amount,fraud_amount,fraud_amount_share,fraud_amount_capture_share,support_status
DEVELOPMENT_DISCOVERY,mcc,1711,2468,0.00025513036355249806,0,0.0,0.0,0.0,366792.11,,,,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3000,2515,0.00025998900499778465,34,0.013518886679920477,9.572854185915908,0.002488836834785155,1830611.5600000003,6609.9800000000005,0.003610804249482615,0.004369719271659335,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3001,2491,0.0002575079966001915,36,0.014452027298273785,10.23362006745255,0.0026352390015372228,1782369.6199999992,5252.69,0.0029470262178279286,0.0034724432934823204,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3005,309,3.194298311901211e-05,18,0.05825242718446602,41.249106129489164,0.0013176195007686114,242000.34999999998,5635.56,0.02328740433639869,0.003725550627776859,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3006,316,3.266661056831012e-05,24,0.0759493670886076,53.78048014351119,0.0017568260010248152,241532.19,7159.08,0.0296402727934525,0.004732717775749838,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3007,276,2.85315965723215e-05,19,0.06884057971014493,48.74667916389511,0.0013908205841446453,212001.27000000002,6080.26,0.02868029988688275,0.004019532479477909,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3008,292,3.0185602170716946e-05,27,0.09246575342465753,65.47589277745968,0.001976429251152917,233288.16999999998,8384.57,0.03594082803255733,0.005542863535680396,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3009,317,3.2769985918209836e-05,17,0.05362776025236593,37.97433482267904,0.0012444184173925775,241761.88,4241.1900000000005,0.017542840087113817,0.0028037618385787634,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3058,2507,0.0002591620021985869,31,0.012365376944555246,8.756042804910178,0.002269233584657053,1809469.7300000007,7096.259999999999,0.003921734573586924,0.004691188790087907,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3066,2255,0.0002331114140238586,15,0.0066518847006651885,4.710263781970492,0.0010980162506405095,1621819.9399999997,1772.42,0.0010928586807238295,0.001171709722491511,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3075,310,3.2046358468911826e-05,25,0.08064516129032258,57.105617356685265,0.001830027084400849,222917.16,6480.659999999999,0.029072055287264555,0.004284228529446652,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3132,2308,0.00023859030756854355,17,0.007365684575389948,5.215712365159989,0.0012444184173925775,1660778.26,2115.06,0.0012735354568044503,0.001398221846770458,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3144,293,3.0288977520616663e-05,26,0.08873720136518772,62.835669064147886,0.0019032281677768832,210368.75,6913.499999999998,0.03286372144151638,0.004570369983663612,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,3174,2367,0.00024468945321262674,10,0.004224757076468103,2.991591276818324,0.0007320108337603397,1678050.4000000006,1369.2800000000002,0.0008159945613075744,0.0009052023159370671,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3256,2314,0.00023921055966794183,16,0.006914433880726016,4.896177391342419,0.0011712173340165434,1676848.5600000005,1693.54,0.0010099540533344284,0.0011195638073528134,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3260,2301,0.00023786668011924552,15,0.00651890482398957,4.616099447346136,0.0010980162506405095,1660072.0599999994,2220.72,0.0013377250623686785,0.0014680714587577144,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3359,8402,0.0008685596898574102,36,0.0042846941204475126,3.0340332763656637,0.0026352390015372228,524929.5900000001,2505.79,0.004773573537738651,0.0016565252623655811,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3387,6235,0.0006445453066247266,43,0.006896551724137931,4.883514863606188,0.0031476465851694607,389776.9,3099.75,0.007952626233109248,0.0020491797724540802,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3389,7836,0.0008100492418141712,51,0.006508422664624809,4.608676929092364,0.0037332552521777322,489803.3500000001,5221.96,0.010661339903044761,0.0034521283344025517,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3390,6335,0.0006548828416146981,44,0.006945540647198106,4.91820439302407,0.0032208476685454943,403444.1,2446.9700000000003,0.0060652020936729535,0.0016176405928871559,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3393,6167,0.000637515782831546,28,0.004540295119182747,3.2150268114546985,0.002049630334528951,392035.08999999997,953.4699999999999,0.0024321037180625848,0.0006303190378713741,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3395,6423,0.0006639798724058731,46,0.007161762416316363,5.071313115406084,0.0033672498352975626,402627.70999999996,2666.35,0.006622370824899261,0.001762668113971429,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3405,6168,0.0006376191581814457,31,0.005025940337224384,3.558916879362811,0.002269233584657053,390589.18999999977,2376.01,0.006083143263642298,0.0015707304237917961,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3504,12004,0.0012409177001961858,140,0.01166277907364212,8.258526468777545,0.010248151672644755,937462.1899999994,15979.78,0.017045786134585343,0.010563897715708127,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3509,12419,0.0012838184704045677,123,0.009904179080441259,7.013244833917092,0.009003733255252177,976419.5800000003,11959.960000000001,0.012248791651638117,0.00790647894551493,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3596,11306,0.0011687617059661843,165,0.014594020873872281,10.334167089313468,0.012078178757045603,882513.6900000002,14643.970000000001,0.01659347630063393,0.00968082171543653,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3640,11732,0.001212799605023463,120,0.010228435049437436,7.242853616326942,0.008784130005124076,920641.9500000002,11698.19,0.012706557636223288,0.007733428283675974,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3684,12650,0.001307698176231402,106,0.008379446640316205,5.933567071432973,0.0077593148378596,976563.4800000006,8495.02,0.008698891750488146,0.005615879716297399,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3722,11994,0.0012398839466971885,132,0.011005502751375688,7.793102758831286,0.009662543005636483,942513.2999999999,13989.560000000001,0.014842825029630883,0.009248204977024827,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3730,11054,0.0011427111177914559,127,0.01148905373620409,8.135509879980818,0.009296537588756313,863939.02,11967.119999999999,0.01385181097619598,0.0079112122714834,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3771,11179,0.0011556330365289204,119,0.010644959298685034,7.537798458853635,0.008710928921748042,878390.9199999998,14796.92,0.01684548378528321,0.00978193375550326,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3775,10992,0.0011363018460976736,112,0.010189228529839884,7.215091101252229,0.008198521338115805,860487.2400000001,11074.289999999999,0.012869789911120585,0.007320981066953947,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,3780,11303,0.001168451579916485,135,0.011943731752632044,8.457471773431049,0.009882146255764584,874948.7900000003,14676.570000000002,0.01677420457944744,0.009702372892332087,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4111,74463,0.007697638679582521,0,0.0,0.0,0.0,6671399.710000001,,,,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4112,1726,0.00017842585392690907,50,0.028968713789107765,20.513025933455893,0.003660054168801698,493358.15000000014,4095.62,0.00830151483258156,0.0027075285618705963,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4121,381437,0.039431183339697806,195,0.0005112246583315201,0.36200311655257617,0.014274211258326622,9538162.150000025,8779.55,0.0009204655846619232,0.005803976537220492,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4131,1731,0.00017894273067640767,44,0.025418833044482957,17.999321103297216,0.0032208476685454943,162699.41,1462.9100000000003,0.008991489274607698,0.0009670991470024355,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4214,68693,0.007101162910661162,156,0.0022709737527841266,1.6080984411042172,0.011419369006661299,1025572.600000001,2284.71,0.0022277408737323887,0.0015103739069033187,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4411,258,2.667084027412662e-05,123,0.47674418604651164,337.5871612109162,0.009003733255252177,435057.47,149901.82,0.3445563640132418,0.09909695214067345,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,mcc,4511,1506,0.00015568327694897164,42,0.027888446215139442,19.748078034104708,0.0030744455017934266,1073152.8300000003,6995.84,0.006518959652745824,0.0046248032323010415,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4722,23468,0.002426012711446525,236,0.010056246804158855,7.120925457329291,0.017275455676744017,3263291.7500000023,21505.07,0.006589993064518361,0.01421655115709624,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4784,360044,0.0372196744792932,0,0.0,0.0,0.0,12563379.259999981,,,,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4814,164615,0.017017133223741678,176,0.0010691613765452723,0.7570834937231111,0.012883390674181977,18887624.859999985,47898.37,0.002535965763563987,0.03166460873861484,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4829,479671,0.049586157461746466,532,0.0011090935245199314,0.7853598332577567,0.03894297635605007,42943637.11,63597.11,0.0014809437271718787,0.042042716799269984,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4899,40071,0.0041423536458315025,26,0.0006488482942776572,0.4594557419529169,0.0019032281677768832,5704223.09,4292.08,0.0007524390144425434,0.002837404151223392,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,4900,185660,0.019192667462381192,0,0.0,0.0,0.0,21218540.940000087,,,,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5045,2075,0.00021450385104190983,249,0.12,84.97315862674768,0.01822706976063246,327632.6600000001,25452.029999999995,0.07768465451521221,0.01682580370800691,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5094,3687,0.0003811449150802513,252,0.06834825061025224,48.39805617471389,0.01844667301076056,211416.02999999997,34000.38,0.16082214768671987,0.022476938769820876,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5192,7848,0.0008112897460129678,0,0.0,0.0,0.0,322052.94999999984,,,,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5193,6546,0.0006766950404435381,84,0.012832263978001834,9.086650021192083,0.006148891003586853,249747.06999999992,8427.17,0.03374281828411441,0.005571025503034713,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5211,131976,0.013643065178364862,208,0.0015760441292356187,1.1160120649691054,0.015225825342215065,6069568.969999999,13621.740000000002,0.002244268096684962,0.009005046882370723,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5251,26377,0.0027267316043047976,115,0.004359858968040338,3.087258230679501,0.008418124588243906,1127650.8800000004,7222.78,0.006405156177415476,0.004774828510972137,SUFFICIENT
DEVELOPMENT_DISCOVERY,mcc,5261,5269,0.0005446847186216014,0,0.0,0.0,0.0,251086.34999999983,,,,SUFFICIENT
