analysis_scope,segment_type,segment_value,transactions,transaction_share,fraud_transactions,fraud_rate,fraud_lift,fraud_capture_share,total_amount,fraud_amount,fraud_amount_share,fraud_amount_capture_share,support_status
DEVELOPMENT_DISCOVERY,state,<UNKNOWN>,930503,0.09619107320773504,8779,0.009434682102045882,6.68078949041735,0.6426323109582022,53354315.05000036,1015565.1799999998,0.0190343588714104,0.6713688602192714,SUFFICIENT
DEVELOPMENT_DISCOVERY,state,WA,235757,0.024371462366307245,74,0.00031388251462310767,0.2222632392102648,0.005416880169826514,9729709.949999955,5542.27,0.000569623352441254,0.0036638785635870878,SUFFICIENT
DEVELOPMENT_DISCOVERY,state,NY,590633,0.061056893037318705,156,0.00026412340658242935,0.1870283343713812,0.011419369006661299,29007378.57999983,14820.5,0.0005109217283846022,0.009797521999405015,SUFFICIENT
DEVELOPMENT_DISCOVERY,state,PA,340470,0.035196205380356164,99,0.0002907745175786413,0.20590024339021598,0.007246907254227363,14849862.409999922,8829.779999999999,0.0005946034889895014,0.0058371825376948416,SUFFICIENT
DEVELOPMENT_DISCOVERY,state,New Zealand,189,1.9537941131046243e-05,0,0.0,0.0,0.0,7108.389999999999,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Denmark,249,2.5740462125029176e-05,0,0.0,0.0,0.0,13925.980000000001,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Liechtenstein,7,7.23627449298009e-07,0,0.0,0.0,0.0,340.77,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Hungary,95,9.82065824047298e-06,0,0.0,0.0,0.0,4880.19,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Ecuador,48,4.962016795186347e-06,0,0.0,0.0,0.0,1775.44,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Nicaragua,17,1.7573809482951648e-06,0,0.0,0.0,0.0,298.59999999999997,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Norway,353,3.6491498514599596e-05,0,0.0,0.0,0.0,16088.630000000003,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Argentina,133,1.3748921536662171e-05,0,0.0,0.0,0.0,6533.360000000001,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Moldova,39,4.031638646088907e-06,0,0.0,0.0,0.0,959.83,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Oman,30,3.101260496991467e-06,0,0.0,0.0,0.0,994.7300000000002,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Slovakia,53,5.478893544684926e-06,0,0.0,0.0,0.0,2309.46,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Comoros,7,7.23627449298009e-07,0,0.0,0.0,0.0,163.54000000000008,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Kuwait,10,1.0337534989971558e-06,0,0.0,0.0,0.0,169.40999999999997,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,Saint Lucia,7,7.23627449298009e-07,0,0.0,0.0,0.0,64.42999999999999,,,,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,state,CO,99444,0.010280058295427316,9,9.050319777965489e-05,0.06408618817632111,0.0006588097503843057,5160332.0600000005,503.33000000000004,9.753829678937366e-05,0.00033274091616075885,SUFFICIENT
