analysis_scope,year,transactions,fraud_transactions,fraud_rate,total_amount,fraud_amount,fraud_amount_share
DEVELOPMENT_DISCOVERY,1991,1585,0,0.0,99565.20999999986,,
DEVELOPMENT_DISCOVERY,1992,5134,0,0.0,285099.11999999994,,
DEVELOPMENT_DISCOVERY,1993,8378,0,0.0,470211.4999999996,,
DEVELOPMENT_DISCOVERY,1994,14316,0,0.0,729441.2100000012,,
DEVELOPMENT_DISCOVERY,1995,20928,0,0.0,998999.3499999992,,
DEVELOPMENT_DISCOVERY,1996,29945,10,0.0003339455668725998,1409787.3699999994,1398.15,0.0009917453012790154
DEVELOPMENT_DISCOVERY,1997,49753,32,0.0006431772958414568,2332873.64,4849.64,0.0020788266954741706
DEVELOPMENT_DISCOVERY,1998,78345,32,0.00040844980534813965,3666112.2300000163,3024.0099999999998,0.0008248547262831575
DEVELOPMENT_DISCOVERY,1999,118250,24,0.0002029598308668076,5484388.3500000015,2403.34,0.00043821477375868167
DEVELOPMENT_DISCOVERY,2000,177729,171,0.0009621389868845264,8270299.860000005,18016.31,0.002178434918319877
DEVELOPMENT_DISCOVERY,2001,257998,354,0.0013721036597182923,11810905.989999976,43879.560000000005,0.003715173081315847
DEVELOPMENT_DISCOVERY,2002,350732,139,0.0003963139947310197,16026067.339999994,11644.0,0.0007265662718724109
DEVELOPMENT_DISCOVERY,2003,466408,311,0.0006667981681274764,21283635.929999966,26718.99,0.0012553771398776245
DEVELOPMENT_DISCOVERY,2004,597003,620,0.0010385207444518704,27157379.74000012,88967.02000000002,0.0032759795257036686
DEVELOPMENT_DISCOVERY,2005,746653,229,0.00030670204231416737,33889439.15999992,17177.8,0.0005068776712090044
DEVELOPMENT_DISCOVERY,2006,908793,1118,0.001230203137568181,40839200.369999774,105572.12,0.0025850682443222524
DEVELOPMENT_DISCOVERY,2007,1064483,1881,0.0017670549928932636,47406637.8400005,193018.72999999998,0.0040715549297431035
DEVELOPMENT_DISCOVERY,2008,1223460,3710,0.003032383567913949,53930668.749999925,391470.0299999999,0.007258764615263564
DEVELOPMENT_DISCOVERY,2009,1355434,1140,0.0008410590261126694,59309602.289999485,120367.41999999998,0.0020294760941314857
DEVELOPMENT_DISCOVERY,2010,1491225,3835,0.0025717111770524235,65282113.16000024,477956.37000000005,0.007321398570977237
DEVELOPMENT_DISCOVERY,2011,706934,55,7.780075650626508e-05,30668737.80999988,6214.92,0.00020264674857188147
