feature_name,bin_order,bin,feature_value,transactions,fraud_transactions,fraud_rate,support_threshold,support_status
card_seconds_since_prev_txn,0,NULL,,6,0,0.0,1000,LOW_SUPPORT
card_seconds_since_prev_txn,2,1–5 minutes,,1405,5,0.0035587188612099642,1000,INTERPRETABLE
card_seconds_since_prev_txn,3,5–30 minutes,,5821,12,0.002061501460230201,1000,INTERPRETABLE
card_seconds_since_prev_txn,4,30 minutes–6 hours,,20116,21,0.0010439451183137801,1000,INTERPRETABLE
card_seconds_since_prev_txn,5,6–24 hours,,15727,0,0.0,1000,INTERPRETABLE
card_seconds_since_prev_txn,6,1–7 days,,2806,5,0.001781895937277263,1000,INTERPRETABLE
card_seconds_since_prev_txn,7,7–30 days,,2,0,0.0,1000,LOW_SUPPORT
card_txn_count_1h,0,0,,34246,20,0.0005840098113648309,1000,INTERPRETABLE
card_txn_count_1h,1,1,,9099,19,0.0020881415540169247,1000,INTERPRETABLE
card_txn_count_1h,2,2–4,,2524,4,0.001584786053882726,1000,INTERPRETABLE
card_txn_count_1h,3,5–9,,14,0,0.0,1000,LOW_SUPPORT
card_txn_count_24h,0,0,,2774,5,0.001802451333813987,1000,INTERPRETABLE
card_txn_count_24h,1,1,,5993,3,0.0005005840146837978,1000,INTERPRETABLE
card_txn_count_24h,2,2–4,,21685,7,0.0003228037814157252,1000,INTERPRETABLE
card_txn_count_24h,3,5–9,,14481,16,0.0011048960707133485,1000,INTERPRETABLE
card_txn_count_24h,4,10–19,,950,12,0.01263157894736842,1000,LOW_SUPPORT
card_txn_count_7d,0,0,,8,0,0.0,1000,LOW_SUPPORT
card_txn_count_7d,1,1,,22,0,0.0,1000,LOW_SUPPORT
card_txn_count_7d,2,2–4,,398,0,0.0,1000,LOW_SUPPORT
card_txn_count_7d,3,5–9,,2817,3,0.0010649627263045794,1000,INTERPRETABLE
card_txn_count_7d,4,10–19,,13859,15,0.0010823291723789596,1000,INTERPRETABLE
card_txn_count_7d,5,20+,,28779,25,0.0008686889745995344,1000,INTERPRETABLE
current_positive_amount_card_z,0,NULL,,1234,1,0.0008103727714748784,1000,INTERPRETABLE
current_positive_amount_card_z,2,-2 ≤ z < -1,,1187,1,0.0008424599831508003,1000,INTERPRETABLE
current_positive_amount_card_z,3,-1 ≤ z < 1,,40075,33,0.0008234560199625702,1000,INTERPRETABLE
current_positive_amount_card_z,4,1 ≤ z < 2,,2309,5,0.0021654395842356,1000,INTERPRETABLE
current_positive_amount_card_z,5,2 ≤ z < 3,,511,2,0.003913894324853229,1000,LOW_SUPPORT
current_positive_amount_card_z,6,3 ≤ z < 5,,270,0,0.0,1000,LOW_SUPPORT
current_positive_amount_card_z,7,z ≥ 5,,297,1,0.003367003367003367,1000,LOW_SUPPORT
current_positive_amount_user_z,0,NULL,,1174,1,0.0008517887563884157,1000,INTERPRETABLE
current_positive_amount_user_z,2,-2 ≤ z < -1,,515,1,0.001941747572815534,1000,LOW_SUPPORT
