selection_rank,user_token,selection_method,target_based_selection
1,ad1f3889d0032e7c2791053060e4c044837353325fbd42cdeeef65638ed31c2a,ORDER_BY_MD5_USER_ID,False
2,a43231c2216f23db8d65bbd57e0ce6573654f9a102365cd4b345723f1437ab2b,ORDER_BY_MD5_USER_ID,False
3,80c3cd40fa35f9088b8741bd8be6153de05f661cfeeb4625ffbf5f4a6c3c02c4,ORDER_BY_MD5_USER_ID,False
4,1bc3201a9f24a2fe48f634f90d406aaf6cbf5e36e292870ecba98d74b065ee1b,ORDER_BY_MD5_USER_ID,False
5,01ce4b291ad3ecd240be71870340051b755e74e91e05d5c5baa0d7830c1b75d4,ORDER_BY_MD5_USER_ID,False
6,9e468662812f45d0558e113a4b263fe79a657a32ced55af2b02b50630e5533bc,ORDER_BY_MD5_USER_ID,False
7,392a52e4f77c40bf3321dc2feac356fac2a906a80c961748170af4ce2bce1e6a,ORDER_BY_MD5_USER_ID,False
8,9a049b03f6fc40bfcf2f136320359257ed4af8513f71aa6fef47f17059bbae23,ORDER_BY_MD5_USER_ID,False
9,06b2d82840e43ed8432b3f444de18b57dbe60637c99379c708aa8e66de83dbc1,ORDER_BY_MD5_USER_ID,False
10,130790feced08212eed7d1490dd4d7abf138543be61a4744a03f69ecb9609764,ORDER_BY_MD5_USER_ID,False
11,d6a4031733610bb080d0bfa794fcc9dbdcff74834aeaab7c6b927e21e9754037,ORDER_BY_MD5_USER_ID,False
12,91d95f436356bc3df44d44406a139351debd062823258c8cdc67e8dadb9df256,ORDER_BY_MD5_USER_ID,False
13,32396038fca01cb69d2c44b0964624d1fe461c9780cffc7f95582a8aa977c2a1,ORDER_BY_MD5_USER_ID,False
14,c47affb712a521d4fdd0d9af6cb0e4d455eb9a241716a6456c4f093480f56df0,ORDER_BY_MD5_USER_ID,False
15,aaf01d71b55e51b1a3051cbb3cdc0646578dcda722b2922072a81f257b1a9821,ORDER_BY_MD5_USER_ID,False
16,63fd44eec460feb25809df9182b23432d590259750995df7fbf4e9c7913963cc,ORDER_BY_MD5_USER_ID,False
17,b97d4904938f12a04277ff18c386c7460877bf4002ad82a0ee3a5ab88f2b9249,ORDER_BY_MD5_USER_ID,False
18,ce0d320a502ecee73ce06e640cad426ce1b955d3c5202ebc3f9d03df1ee7379b,ORDER_BY_MD5_USER_ID,False
19,f89f8d0e735a91c5269ab08d72fa27670d000e7561698d6e664e7b603f5c4e40,ORDER_BY_MD5_USER_ID,False
20,1e797595727addd0e2663019e48d48a6f1dd555174ab126d482d40a5c752988b,ORDER_BY_MD5_USER_ID,False
21,e39eef82f61b21e2e7f762fcc4307358f165757f2e77ec855d6992f7e0191932,ORDER_BY_MD5_USER_ID,False
22,0038263cc90dfa55d621a6425e46020136a318d12b974340f518892a6ef690ff,ORDER_BY_MD5_USER_ID,False
23,e6f095e985e6762f1538b47ff1abda58dbe8ce088b16d8a5744fc179e9a2fc16,ORDER_BY_MD5_USER_ID,False
24,5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,ORDER_BY_MD5_USER_ID,False
25,011af72a910ac4acf367eef9e6b761e0980842c30d4e9809840f4141d5163ede,ORDER_BY_MD5_USER_ID,False
26,7125e777a6b199fc4e8c2a0d024215e393c06bf775c217a5f2d8d1a6a7c98d96,ORDER_BY_MD5_USER_ID,False
27,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,ORDER_BY_MD5_USER_ID,False
28,78f9110cf588bd30afae93e571cd302097208933596793c8d07d9eaff8a2b456,ORDER_BY_MD5_USER_ID,False
29,1dfacb2ea5a03e0a915999e03b5a56196f1b1664d2f768d1b7eff60ac059789d,ORDER_BY_MD5_USER_ID,False
30,de482c7ed5ca67ae135ef25bf3b13194970a2f3902318f1eda3c64af2a2eb344,ORDER_BY_MD5_USER_ID,False
31,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ORDER_BY_MD5_USER_ID,False
32,d6e5a20b30f87216b2c758f5e7a23c437dbc3dfa1ccb177c474de152bb0ef731,ORDER_BY_MD5_USER_ID,False
33,61ab550f4c85a975cd46f8606ede483d8ee720a76f627773de1bc1dd8ce5fb35,ORDER_BY_MD5_USER_ID,False
34,3f5f3806e425deac33023e9764d08ac98397e6f1bc8599743cbb15a9cfdf8929,ORDER_BY_MD5_USER_ID,False
35,8cf04f0d07191f042b1d11880ab80618c2680e8e03bbacc60f9e31160d4fa87f,ORDER_BY_MD5_USER_ID,False
36,fc95ce176603e9e1d1ffee39023b31dd856e00ad030526902604ed2a68a12c4b,ORDER_BY_MD5_USER_ID,False
37,ee1a7173778d6b708b4e532f6b997fcd54053fada5b6315886211257c04aed2d,ORDER_BY_MD5_USER_ID,False
38,7b69759630f869f2723875f873935fed29d2d12b10ef763c1c33b8e0004cb405,ORDER_BY_MD5_USER_ID,False
39,dc4bc886825c446e6ae02d4d0c6a8787af0395079effcc3afc0f8bdc40cbd161,ORDER_BY_MD5_USER_ID,False
40,a3aaf5a0e9ad2901ab35ce73910be7fbbe1731a3ed1ff947a6ac395c5024a8b3,ORDER_BY_MD5_USER_ID,False
41,0788979fc9366e21cd56311511b897a222cf91711481bcd7dc837eac2172d087,ORDER_BY_MD5_USER_ID,False
42,1ad269a743bd01b5bb74f135c332a4acc98ef1a570d966fcd6a801de6d9ae3bc,ORDER_BY_MD5_USER_ID,False
43,88831144c552348a6df88c9a58528323d0e5f7da3c67e213fffdba38ac6617c1,ORDER_BY_MD5_USER_ID,False
44,929335bd815765d7b6766e83703418a3e98b7c519a6c9ec2e1400f57a348807b,ORDER_BY_MD5_USER_ID,False
45,63a4b69673ba773821ec0128843e7c2a0c7089c4f85f2b05d088cae62bf64647,ORDER_BY_MD5_USER_ID,False
46,a15faf6f6c7e4c11d7956175f4a1c01edffff6e114684eee28c255a86a8888f8,ORDER_BY_MD5_USER_ID,False
47,37b73510175057c633ebe4beb0a34917fa2a0696432db43a4eeb2c3ff83a4c3b,ORDER_BY_MD5_USER_ID,False
48,5932cb6e58ef979208d6b91fcfe0d47c278d78451e733978d35f8b14db88c305,ORDER_BY_MD5_USER_ID,False
49,f138665c5aa6600801452ebb40df70c46e73f2c51f4cb72f66b438139c5ec3f6,ORDER_BY_MD5_USER_ID,False
50,8e614d39a1f1279958da1c9f7e8df51db4aabca8cc3a3e84f8c3dc5f88e1fcfb,ORDER_BY_MD5_USER_ID,False
51,67e9c3acebb154a282f326d4ff1951cd1f342e58e74d562b556b517da5e56132,ORDER_BY_MD5_USER_ID,False
52,f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db,ORDER_BY_MD5_USER_ID,False
53,62f6d46c48c7d9ff3d09a408d0ec880f167a5dc9c8fd343a4e56e96318349583,ORDER_BY_MD5_USER_ID,False
54,bcce03f625c22998dcb812feb157db59cbb8f22a424a70710a8d9ef20c7e5580,ORDER_BY_MD5_USER_ID,False
55,7ed8f0f3b707956d9fb1e889e11153e0aa0a854983081d262fbe5eede32da7ca,ORDER_BY_MD5_USER_ID,False
56,da4bb298d82e8b0c1cde703b60549806e385df057824e9c9b032167c945b0fa8,ORDER_BY_MD5_USER_ID,False
57,65a699905c02619370bcf9207f5a477c3d67130ca71ec6f750e07fe8d510b084,ORDER_BY_MD5_USER_ID,False
58,0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e,ORDER_BY_MD5_USER_ID,False
59,aa4b0d224e2b4488c6e3c5692347a0e26322d86dcb6bf01ab937e15d76037ee4,ORDER_BY_MD5_USER_ID,False
60,9b6c13f0d182b253c607005217881bbca28a5b04076842f6bc65580c3801a0b0,ORDER_BY_MD5_USER_ID,False
61,de0023e398111d43424845aaeee2e119249cc0567e7b585eaba5f44080b458c6,ORDER_BY_MD5_USER_ID,False
62,8b7a686fc953486da2536de59c04f7bd7e9ff208031dbba0af5c50e8a1ffa680,ORDER_BY_MD5_USER_ID,False
63,38813d9a6e5332787f13dac070d265339c4c711beea8b21f82966684bda30e79,ORDER_BY_MD5_USER_ID,False
64,226f76b55acb49701e06ded1d95165d179458f6fc37f5c6fc760ae30dec1c378,ORDER_BY_MD5_USER_ID,False
65,63d942da157a1ee4e0cf3f5bbf3984243788e786641466444cf3f5c2c604d41d,ORDER_BY_MD5_USER_ID,False
66,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,ORDER_BY_MD5_USER_ID,False
67,cf1881df6f1696c2e59b47fde80838e66a1dfad4f0e993fd686186333456b55d,ORDER_BY_MD5_USER_ID,False
68,72933e3b31f0070af6478edc3becf96e1ee59917620e8c509cf0e6b360e29c02,ORDER_BY_MD5_USER_ID,False
69,6360659f97100b35f3dd80cd08358fb415757f07ee670a9e1d3b4ae7fa14a0cf,ORDER_BY_MD5_USER_ID,False
70,cdad86ca9450d1c143675a8436131cabaf55905c114fa4524bf6a9ec5662cad7,ORDER_BY_MD5_USER_ID,False
71,e2fa8f5b4364b8ef4dd1f26ab47105d908d06ec84d835e3d1aac404a63f1464a,ORDER_BY_MD5_USER_ID,False
72,3c7217bd6d2c58c67e93c1b4a0c5d2f8bfd5cd46249df0f246307b1f859b9737,ORDER_BY_MD5_USER_ID,False
73,3d3286f7cd19074f04e514b0c6c237e757513fb32820698b790e1dec801d947a,ORDER_BY_MD5_USER_ID,False
74,9f484139a27415ae2e8612bf6c65a8101a18eb5e9b7809e74ca63a45a65f17f4,ORDER_BY_MD5_USER_ID,False
75,a829c72c42755e384141ad8f163e4965ef5c9f8f0e07378c1d05a7222af0dd80,ORDER_BY_MD5_USER_ID,False
76,fb4a379d44cab4220bc5596ffa1f8eb9b169ba098d2c98b20d110881c92b9299,ORDER_BY_MD5_USER_ID,False
77,fc4fb94d36f45aa9d13358022455e55db4b6f0eb536a1b2897c90dfd3df9eb9b,ORDER_BY_MD5_USER_ID,False
78,40f8d6d22b99ea3388538fd60bbf532256434b0eac401df1d9a2bdbb29354ae8,ORDER_BY_MD5_USER_ID,False
79,ee62de25ccc2b55d3a0495244b246fb97055b6f1c2697d837b8e94976c03756f,ORDER_BY_MD5_USER_ID,False
80,3038bfb575bee6a0e61945eff8784835bb2c720634e42734678c083994b7f018,ORDER_BY_MD5_USER_ID,False
81,f76cb816b3f74ecf30d387c64869038ac163fe26f8aabd727c1071dd567fc3d5,ORDER_BY_MD5_USER_ID,False
82,0e0c8d9c5fa46e66bd8293289e410bbc9e35da10a211a4d5c3e0b64a373db54f,ORDER_BY_MD5_USER_ID,False
83,07e46896ba89f88776fed50a1b7895129f9b9af7d3b8b33ca23af478bb818d6c,ORDER_BY_MD5_USER_ID,False
84,b4bbe448fde336bb6a7d7d765f36d3327c772b845e7b54c8282aa08c9775ddd7,ORDER_BY_MD5_USER_ID,False
85,5e5c743a015ff8d81e2374d5bca1bdf8ed87ce18484fce8cf4062183dde08493,ORDER_BY_MD5_USER_ID,False
