feature_name,min_value,mean_value,median_value,max_value
card_channel_is_new,0.0,0.00058,0.0,1.0
card_channel_prior_txn_count,0.0,3110.31966,1693.0,14142.0
card_cold_start,0.0,6e-05,0.0,1.0
card_mcc_is_new,0.0,0.02947,0.0,1.0
card_mcc_prior_txn_count,0.0,13432.56176,10160.5,41977.0
card_merchant_is_new,0.0,0.02947,0.0,1.0
card_merchant_prior_txn_count,0.0,13432.56176,10160.5,41977.0
card_merchant_seconds_since_prev_txn,0.0,4.19051,4.0,20.0
card_positive_amount_sum_24h,0.0,140.8887163000001,87.93,6820.2
card_positive_amount_sum_7d,0.0,976.0698641999879,765.465,9666.970000000001
card_prior_positive_amount_mean,8.61,75.96487467550905,71.26713347921226,1300.73
card_prior_positive_amount_std,0.20506096654410005,95.23635453600126,61.35380401528526,844.3703495504801
card_prior_txn_count,0.0,13432.56176,10160.5,41977.0
card_seconds_since_prev_txn,60.0,27218.026681600895,14220.0,621720.0
card_txn_count_1h,0.0,0.33655,0.0,6.0
card_txn_count_24h,0.0,4.19051,4.0,20.0
card_txn_count_7d,0.0,29.46624,24.0,80.0
current_positive_amount_card_z,-1.9927106749744745,-0.015025010070150146,-0.13930876462424135,111.1185434326402
current_positive_amount_user_z,-1.9927106749744745,-0.02001260551548816,-0.1486423253577842,39.86976213406738
current_positive_amount_vs_card_mean,0.000832820463202792,0.9797055351192472,0.8293031468272714,72.12365956291572
current_positive_amount_vs_user_mean,0.0007883800249378303,0.9822053339168658,0.8105463770286141,73.25987341078465
merchant_cold_start,0.0,0.02172,0.0,1.0
merchant_prior_txn_count,0.0,13432.56176,10160.5,41977.0
merchant_seconds_since_prev_txn,60.0,2450964.324937646,198240.0,530351340.0
merchant_txn_count_1h,0.0,0.33655,0.0,6.0
merchant_txn_count_24h,0.0,4.19051,4.0,20.0
user_channel_is_new,0.0,0.00017,0.0,1.0
user_channel_prior_txn_count,0.0,6143.13829,4453.0,20315.0
user_cold_start,0.0,6e-05,0.0,1.0
user_mcc_is_new,0.0,0.02947,0.0,1.0
user_mcc_prior_txn_count,0.0,13432.56176,10160.5,41977.0
user_merchant_is_new,0.0,0.02947,0.0,1.0
user_merchant_prior_txn_count,0.0,13432.56176,10160.5,41977.0
user_merchant_seconds_since_prev_txn,0.0,4.19051,4.0,20.0
user_positive_amount_sum_24h,0.0,244.81386989999774,196.20999999999998,6866.59
user_positive_amount_sum_7d,0.0,1717.6254521000276,1638.8049999999998,10259.380000000001
user_prior_positive_amount_mean,12.280000000000001,74.85801445822835,89.38132507632717,1300.73
user_prior_positive_amount_std,1.2798632739476508,98.96976729777323,84.31854747287113,844.3703495504801
user_prior_txn_count,0.0,13432.56176,10160.5,41977.0
user_seconds_since_prev_txn,60.0,27218.026681600895,14220.0,621720.0
user_txn_count_1h,0.0,0.33655,0.0,6.0
user_txn_count_24h,0.0,4.19051,4.0,20.0
user_txn_count_7d,0.0,29.46624,24.0,80.0
