feature_name,row_count,null_rows,null_rate
card_channel_is_new,100000,0,0.0
card_channel_prior_txn_count,100000,0,0.0
card_cold_start,100000,0,0.0
card_mcc_is_new,100000,0,0.0
card_mcc_prior_txn_count,100000,0,0.0
card_merchant_is_new,100000,0,0.0
card_merchant_prior_txn_count,100000,0,0.0
card_merchant_seconds_since_prev_txn,100000,0,0.0
card_positive_amount_sum_24h,100000,0,0.0
card_positive_amount_sum_7d,100000,0,0.0
card_prior_positive_amount_mean,100000,21,0.00021
card_prior_positive_amount_std,100000,42,0.00042
card_prior_txn_count,100000,0,0.0
card_seconds_since_prev_txn,100000,6,6e-05
card_txn_count_1h,100000,0,0.0
card_txn_count_24h,100000,0,0.0
card_txn_count_7d,100000,0,0.0
current_positive_amount_card_z,100000,2686,0.02686
current_positive_amount_user_z,100000,2611,0.02611
current_positive_amount_vs_card_mean,100000,2602,0.02602
current_positive_amount_vs_user_mean,100000,2587,0.02587
merchant_cold_start,100000,0,0.0
merchant_prior_txn_count,100000,0,0.0
merchant_seconds_since_prev_txn,100000,2172,0.02172
merchant_txn_count_1h,100000,0,0.0
merchant_txn_count_24h,100000,0,0.0
user_channel_is_new,100000,0,0.0
user_channel_prior_txn_count,100000,0,0.0
user_cold_start,100000,0,0.0
user_mcc_is_new,100000,0,0.0
user_mcc_prior_txn_count,100000,0,0.0
user_merchant_is_new,100000,0,0.0
user_merchant_prior_txn_count,100000,0,0.0
user_merchant_seconds_since_prev_txn,100000,0,0.0
user_positive_amount_sum_24h,100000,0,0.0
user_positive_amount_sum_7d,100000,0,0.0
user_prior_positive_amount_mean,100000,6,6e-05
user_prior_positive_amount_std,100000,12,0.00012
user_prior_txn_count,100000,0,0.0
user_seconds_since_prev_txn,100000,6,6e-05
user_txn_count_1h,100000,0,0.0
user_txn_count_24h,100000,0,0.0
user_txn_count_7d,100000,0,0.0
