feature_name,registry_present,mart_present,status
user_prior_txn_count,True,True,PASS
card_prior_txn_count,True,True,PASS
merchant_prior_txn_count,True,True,PASS
user_cold_start,True,True,PASS
card_cold_start,True,True,PASS
merchant_cold_start,True,True,PASS
user_seconds_since_prev_txn,True,True,PASS
card_seconds_since_prev_txn,True,True,PASS
merchant_seconds_since_prev_txn,True,True,PASS
user_txn_count_1h,True,True,PASS
user_txn_count_24h,True,True,PASS
user_txn_count_7d,True,True,PASS
card_txn_count_1h,True,True,PASS
card_txn_count_24h,True,True,PASS
card_txn_count_7d,True,True,PASS
merchant_txn_count_1h,True,True,PASS
merchant_txn_count_24h,True,True,PASS
user_positive_amount_sum_24h,True,True,PASS
user_positive_amount_sum_7d,True,True,PASS
card_positive_amount_sum_24h,True,True,PASS
card_positive_amount_sum_7d,True,True,PASS
user_prior_positive_amount_mean,True,True,PASS
user_prior_positive_amount_std,True,True,PASS
card_prior_positive_amount_mean,True,True,PASS
card_prior_positive_amount_std,True,True,PASS
current_positive_amount_vs_user_mean,True,True,PASS
current_positive_amount_vs_card_mean,True,True,PASS
current_positive_amount_user_z,True,True,PASS
current_positive_amount_card_z,True,True,PASS
user_merchant_prior_txn_count,True,True,PASS
user_merchant_is_new,True,True,PASS
user_merchant_seconds_since_prev_txn,True,True,PASS
card_merchant_prior_txn_count,True,True,PASS
card_merchant_is_new,True,True,PASS
card_merchant_seconds_since_prev_txn,True,True,PASS
user_mcc_prior_txn_count,True,True,PASS
user_mcc_is_new,True,True,PASS
card_mcc_prior_txn_count,True,True,PASS
card_mcc_is_new,True,True,PASS
user_channel_prior_txn_count,True,True,PASS
user_channel_is_new,True,True,PASS
card_channel_prior_txn_count,True,True,PASS
card_channel_is_new,True,True,PASS
