source_id,path,source_part,section,claim_class,metric_ids,chart_ids,status,sha256,bytes
part2_summary,assets/data/part2_summary.json,2,FOUNDATION,OBSERVED,source_total_transactions;source_fraud_transactions;source_fraud_rate;source_users;source_cards;source_merchants,D1,AVAILABLE,9280a38944b11932e31149ba81dd2e876ec62bc68d57882b05c918d6b661bf17,4182
part2_split_summary,reports/split_summary.csv,2,FOUNDATION,OBSERVED,split_volume;split_fraud_rate,D2;D3,AVAILABLE,c21515528a4e725025a1d24dd54f4d0a2b8f3bbd617e685ae814a855fc8ae123,380
part3_monthly_trend,reports/part3/monthly_fraud_trend.csv,3,PORTFOLIO,OBSERVED,monthly_fraud_trend,P1,AVAILABLE,33d9ae5492e650e8d392d2aebe2f8cb2c6aef6979e0a9d346ed1d4074c2ef01a,27611
part3_channel_risk,reports/part3/channel_risk.csv,3,PORTFOLIO,OBSERVED,channel_fraud_risk,P2,AVAILABLE,66dd0202b389aa4a0e644952b1bbc45f692947e142d9b28c4e47962c1b1b72cb,671
part3_amount_band_risk,reports/part3/amount_band_risk.csv,3,PORTFOLIO,OBSERVED,amount_band_fraud_risk,P3,AVAILABLE,ead71f6ba1ae1c6d4113801f7ff1d4bb7685a96fb28a8b2ad9a34bb9da3cc982,1938
part3_mcc_risk,reports/part3/mcc_risk.csv,3,PORTFOLIO,OBSERVED,mcc_fraud_risk,P4,AVAILABLE,9e8363ad8403436e4a8c4c2aa9e9703717629ddf5dc058cc702610006e562f3f,21635
part3_entity_concentration,reports/part3/top_entity_concentration.csv,3,PORTFOLIO,DERIVED,entity_concentration,P5,AVAILABLE,337b2355fb74ab3df1fda639c56d4ba0ccc6f101d3ce430641df67bb91ffdd61,775
part4_feature_registry,docs/PART4_FEATURE_REGISTRY.csv,4,BEHAVIOR,DERIVED,behavior_primary_features,B1,AVAILABLE,704c5fd2fdc13651bbc0bd47a509e2d9dbd1f46f9831603c7acb8d6ea63ea88c,8463
part5_final_summary,assets/data/part5_final_summary.json,5,MODEL,DERIVED,modeling_lock;champion_freeze;oot_metrics,M1;M3;M4,AVAILABLE,a945938c55510660f534c93bb8b116d110dfc40bb1e377e30ab2367f3dc73b96,2692
part5_model_selection,assets/data/part5_model_selection.json,5,MODEL,DERIVED,validation_leaderboard,M1,AVAILABLE,274621652a5776ffedb9975aceac8a17e309d2b3117402dbf358dc9512c646ed,1387
part5_calibration,assets/data/part5_calibration.json,5,MODEL,DERIVED,oot_calibration,M3,AVAILABLE,622673529698f082ae969100890fc8325a53b923fc93e5dddf5ca0b6cd16f9e5,404
part5_topk,assets/data/part5_topk.json,5,MODEL,DERIVED,oot_topk,M4,AVAILABLE,e46bd56a5bba317a1bd7a0090833baec0f99286fd4f349976ea6af3ca208113c,683
part5_summary,assets/data/part5_summary.json,5,MODEL,DERIVED,,,AVAILABLE,5d3666c3c5130efac47a47260c6f1ba89be17817b68a17061b075843305f9590,3657
part6_summary,assets/data/part6_summary.json,6,GRAPH,DERIVED,graph_network_scale;graph_model_comparison,G1;G2,AVAILABLE,7ccc480b7138fa9492fd4f74b1098266e57b8091ef9390862a7bdaa7508baf39,7283
part7_summary,assets/data/part7_summary.json,7,DECISION,SIMULATED,,DE1;DE2;DE3;DE4,AVAILABLE,ff692bf3e32737eef742a57a290e086350bcb12c1159dd9c59095829d8f836b4,1312
part8_summary,assets/data/part8_summary.json,8,MONITORING,GOVERNANCE,monitoring_gate_count,MON1;MON2;MON3,AVAILABLE,f07947194a1b1c4849094b73afeb7b108522b87b883a10035ca3f6198ef17d4b,996
