source_id,path,source_part,section,claim_class,metric_ids,chart_ids,status,sha256,bytes
part2_summary,assets/data/part2_summary.json,2,FOUNDATION,OBSERVED,source_total_transactions;source_fraud_transactions;source_fraud_rate;source_users;source_cards;source_merchants,D1,AVAILABLE,f06d36aea4a36f752fe5bc706a5e6fe302d65c21aaa685dc95610041ab0d1960,4042
part2_split_summary,reports/split_summary.csv,2,FOUNDATION,OBSERVED,split_volume;split_fraud_rate,D2;D3,AVAILABLE,a6c6b841d1688c583e851eeb0cbbfc412f5b45f2b779cb543fedb6683da15185,376
part3_monthly_trend,reports/part3/monthly_fraud_trend.csv,3,PORTFOLIO,OBSERVED,monthly_fraud_trend,P1,AVAILABLE,a02f29a1346bff1a890ac055ba50edaf1d5aa74555771b156fed182db4938c4e,27364
part3_channel_risk,reports/part3/channel_risk.csv,3,PORTFOLIO,OBSERVED,channel_fraud_risk,P2,AVAILABLE,b8300633866c35d1f850e903cbeff0f3de4531ae1299d30b97dcd1662bd20b84,668
part3_amount_band_risk,reports/part3/amount_band_risk.csv,3,PORTFOLIO,OBSERVED,amount_band_fraud_risk,P3,AVAILABLE,ff56d5c90e251bec52fb38e3457d5ae2d797b3453b277185c943f620adf234ba,1929
part3_mcc_risk,reports/part3/mcc_risk.csv,3,PORTFOLIO,OBSERVED,mcc_fraud_risk,P4,AVAILABLE,c7293fe579eb8f34e7cf5a87007b9a9ca93a1aa925bc53175c2ccedaea08e57e,21525
part3_entity_concentration,reports/part3/top_entity_concentration.csv,3,PORTFOLIO,DERIVED,entity_concentration,P5,AVAILABLE,5e700fdf3d51bd6441cf28facaa5d0a7ad113cd0a1784ea92d519d9d19028def,762
part4_feature_registry,docs/PART4_FEATURE_REGISTRY.csv,4,BEHAVIOR,DERIVED,behavior_primary_features,B1,AVAILABLE,cfc0f38ddec7b8888817cbf4c2773822206e1803d20ebf767179264f47e03ad0,8462
part5_final_summary,assets/data/part5_final_summary.json,5,MODEL,DERIVED,modeling_lock;champion_freeze;oot_metrics,M1;M3;M4,AVAILABLE,a945938c55510660f534c93bb8b116d110dfc40bb1e377e30ab2367f3dc73b96,2692
part5_model_selection,assets/data/part5_model_selection.json,5,MODEL,DERIVED,validation_leaderboard,M1,AVAILABLE,274621652a5776ffedb9975aceac8a17e309d2b3117402dbf358dc9512c646ed,1387
part5_calibration,assets/data/part5_calibration.json,5,MODEL,DERIVED,oot_calibration,M3,AVAILABLE,622673529698f082ae969100890fc8325a53b923fc93e5dddf5ca0b6cd16f9e5,404
part5_topk,assets/data/part5_topk.json,5,MODEL,DERIVED,oot_topk,M4,AVAILABLE,e46bd56a5bba317a1bd7a0090833baec0f99286fd4f349976ea6af3ca208113c,683
part5_summary,assets/data/part5_summary.json,5,MODEL,DERIVED,,,AVAILABLE,5d3666c3c5130efac47a47260c6f1ba89be17817b68a17061b075843305f9590,3657
part6_summary,assets/data/part6_summary.json,6,GRAPH,DERIVED,graph_network_scale;graph_model_comparison,G1;G2,AVAILABLE,7ccc480b7138fa9492fd4f74b1098266e57b8091ef9390862a7bdaa7508baf39,7283
part7_summary,assets/data/part7_summary.json,7,DECISION,SIMULATED,,DE1;DE2;DE3;DE4,AVAILABLE,29e09da368ca1ac0466410f7f517b3531df8dc693df49afba5b734ad48aae898,3664
part8_summary,assets/data/part8_summary.json,8,MONITORING,GOVERNANCE,monitoring_gate_count,MON1;MON2;MON3,AVAILABLE,6860b16594f9fc2d1c3711dcfa958bd870f23d71e94cffd43c622b3f6c1bf4e6,4801
